Sequence,Time (seconds),Best Score
"O,O,I,I,I,I,L",52.798357,2
"O,O,T,O,I,I,L,L",549.342096,3
"J,O,O,O,I,I,I,O,T",595.277874,3
"O,I,O,T,I,L",18.560747,2
