gen,fitness,w1,w2,w3,w4
0,0.51,-0.31389926386850325,-0.09904603391044202,0.9442668064277555,0.004163362601451492
0,0.4,-0.3925145614127066,-0.35879961300534735,0.8105830692196522,0.24525546819724925
0,0.32,0.6055135143950549,0.19699742605630022,0.4361282611865173,0.6358754106006672
0,0.32,-0.044191638228375484,-0.40937690429553425,0.6762819833656893,0.6108193909127859
0,0.27,0.7549708597192905,0.44451965091768275,0.41007553654708445,-0.25349425091776234
0,0.17,-0.7298422168855613,-0.16295484536438654,0.3823229555161962,-0.5427754733858181
0,0.14,-0.19764311966210807,0.6421244183871522,-0.6162199987767094,-0.41095783441713735
0,0.09,0.5907758549755321,0.3153346318802432,-0.586375179871796,-0.45575443776797103
0,0.09,-0.6829975067346025,0.6208722829415517,0.04065202194586277,-0.3825956444877222
0,0.07,-0.23641466409226353,-0.5469307874615474,-0.12469539052530873,-0.7933636492243481
0,0.06,0.4600463916496927,0.8799952969033277,-0.11774622705973344,-0.010070797948492857
0,0.06,-0.4874816217458801,-0.42702264351843866,-0.32907424755787096,0.6868212795019911
0,0.05,0.7534804214530731,0.2427163869016878,-0.10240216089563743,-0.6023867590345869
0,0.05,0.053731943914763464,0.7651361746904765,-0.37331276114200196,0.5218401045834824
0,0.05,0.6171213199054567,0.2125683586849148,-0.5962861285294504,0.4673529954194241
0,0.04,-0.7482987168147629,0.2860739856199847,0.41278210612783567,0.43338393835667716
0,0.03,0.42935640691174093,-0.4606814301917591,-0.67405809352059,0.38609763309259276
0,0.03,0.39597132860791245,-0.13826390225790602,-0.7521750509399385,0.5082543585611456
0,0.03,-0.40856124241008573,0.17479275249934,-0.12560667515408963,0.8869882569858334
0,0.02,0.10095505331227489,-0.6653317319836546,-0.4429202908216508,0.5924216231745851
1,0.52,0.19064708799740987,-0.07433965929654952,0.7824371865492745,0.5881490899411785
1,0.51,-0.31389926386850325,-0.09904603391044202,0.9442668064277555,0.004163362601451492
1,0.42,-0.044191638228375484,-0.40937690429553425,0.6762819833656893,0.6108193909127859
1,0.41,-0.3925145614127066,-0.35879961300534735,0.8105830692196522,0.24525546819724925
1,0.31,0.7259503697360967,0.13043963162637717,0.3207526863546275,0.5942215726288381
1,0.3,0.6055135143950549,0.19699742605630022,0.4361282611865173,0.6358754106006672
1,0.26,0.7549708597192905,0.44451965091768275,0.41007553654708445,-0.25349425091776234
1,0.17,-0.7298422168855613,-0.16295484536438654,0.3823229555161962,-0.5427754733858181
1,0.14,-0.6829975067346025,0.6208722829415517,0.04065202194586277,-0.3825956444877222
1,0.13,0.7534804214530731,0.2427163869016878,-0.10240216089563743,-0.6023867590345869
1,0.11,-0.6289181382077277,-0.3035907727276038,0.24738535636165324,-0.6716361392940374
